factor_id,value_pct_per_yr,applies_to,tier_or_standard,source,source_url,verbatim_quote
modern_leak_only,0.5,Modern GIS & circuit breakers (annual leakage only; excludes maintenance/handling losses),IPCC default,IPCC GPG — SF6 from Electrical Equipment and Other Uses,https://www.ipcc-nggip.iges.or.jp/public/gp/bgp/3_5_SF6_Electrical_Equipment_Other_Uses.pdf,"leakage rates only (i.e. excluding maintenance losses) are of the order of 0.5% per year"
iec_newer_max,1.0,Equipment manufactured >=1980 (max permissible),IEC 694 (1996),IPCC GPG — SF6 from Electrical Equipment and Other Uses (citing IEC 694),https://www.ipcc-nggip.iges.or.jp/public/gp/bgp/3_5_SF6_Electrical_Equipment_Other_Uses.pdf,"for newer equipment this value is 1%"
iec_pre1980_max,3.0,Equipment manufactured before 1980 (max permissible),IEC 694 (1996),IPCC GPG — SF6 from Electrical Equipment and Other Uses (citing IEC 694),https://www.ipcc-nggip.iges.or.jp/public/gp/bgp/3_5_SF6_Electrical_Equipment_Other_Uses.pdf,"equipment manufactured before 1980 has a maximum leakage rate of 3%"
epa_cb_weighted_lower,0.2,US high-voltage circuit breakers (weighted-average lower-bound; 1998-2002 fleet, 2300+ units),EPA field study,EPA — SF6 Leak Rates from High Voltage Circuit Breakers,https://www.epa.gov/system/files/documents/2022-05/leakrates_circuitbreakers.pdf,"the weighted-average circuit breaker leak rate is approximately 0.2 percent per year"
