# Layer-2 SF6 industrial point sources. Pull date 2026-06-03.
# US = EPA GHGRP (Envirofacts); EU = E-PRTR via EEA discodata [IED].[latest], SF6/AIR.
# GAP: China (~57% of global SF6) and most of Asia have no facility-level reporting.
facility_name,country,lat,lon,sf6_tonnes_yr,year,source_dataset,sector,notes
ON Semiconductor,US,42.866748,-112.414601,0.203,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
WaferTech LLC,US,45.618845,-122.462535,0.392,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Perdue Georgetown Processing Plant,US,38.698227,-75.380704,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Perdue Cromwell Processing Plant,US,37.344768229093,-86.800451266134,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"IM Flash Technologies, LLC",US,40.429165,-111.823859,0.041,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Fairchild Semiconductor,US,40.58775,-111.96975,0.463,2015,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Fairchild Semiconductor,US,41.141875,-75.89487,0.458,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Fairchild Semiconductor,US,43.640687,-70.325903,0.1,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Mar-Jac Poultry MS, LLC",US,31.305917,-89.277972,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
INTEL CORPORATION ALOHA CAMPUS,US,45.493297,-122.88506,0.002,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Skyworks Solutions, Inc.",US,34.186689,-118.927624,0.009,2015,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Skyworks Solutions, Inc.",US,42.49891,-71.16311,0.047,2022,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
X-FAB Texas Inc.,US,33.629444,-101.870834,0.028,2023,EPA GHGRP (Envirofacts),industrial,subparts=I
Microchip Technology,US,38.78695,-104.80641,1.281,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Micron Technology, Inc.",US,38.74876,-77.51142,0.325,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Polar Semiconductor LLC,US,44.85312,-93.2301,0.127,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Southern Hens, Inc.",US,31.524558,-89.307233,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Intel Massachusetts, Inc.",US,42.37938,-71.55696,0.026,2015,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Samsung Austin Semiconductor,US,30.375,-97.631386,0.585,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Robert Bosch Semiconductor LLC,US,38.77518,-121.31299,0.029,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Infineon Technologies Americas Corp,US,33.49944,-117.16294,0.193,2022,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Maxim Integrated Products,US,45.502117,-122.824922,0.199,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Maxim Integrated Products,US,37.4105,-121.94657,0.043,2015,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
TowerJazz Texas,US,29.47154,-98.67401,0.185,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Protein Products, Inc.",US,33.491028,-90.513694,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
QORVO,US,36.07565,-79.96503,0.837,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Peco Foods Inc,US,32.5749,-89.32429,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
NXP Semiconductors - EB site,US,30.27065,-97.66924,0.233,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
NXP Semiconductors - OH site,US,30.2368,-97.86504,0.307,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
NXP Semiconductors Chandler Site,US,33.32412,-111.85919,0.546,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Sanderson Farms, Inc.",US,31.275,-90.374722,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Texas Instruments - Sherman,US,33.6005808,-96.5569882,0.106,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Newport Fab LLC (dba TowerJazz),US,33.66196,-117.85845,0.272,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Cypress Semiconductor,US,30.21421,-97.72481,0.269,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Tyson Foods, Inc.",US,32.823278,-89.534944,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ON Semiconductor,US,33.461669,-111.9708,0.003,2011,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Wayne Farms LLC - Danville Fresh Poultry Plant,US,35.05518,-93.36892,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Koch Foods of Gadsden, LLC",US,33.973172,-85.974467,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Texas Instruments Incorporated - Maine Fab,US,43.64075,-70.32198,0.323,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Honeywell Aerospace - Plymouth,US,44.987785,-93.43188,0.035,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Qorvo US, Inc.",US,45.539682,-122.936288,0.232,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Cargill Meat Solutions Corporation,US,34.254166,-101.711666,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Texas Instruments Incorporated,US,29.647,-95.575,0.094,2013,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Analog Devices Inc.,US,37.42778,-121.89263,0.101,2014,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
JBS Swift Food,US,41.000833,-92.391389,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
International Rectifier,US,33.91826,-118.40052,0.047,2013,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Cargill Meat Solutions,US,34.5992,-102.7736,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
General Motors Components Holdings LLC,US,40.45534,-86.10347,0.081,2017,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
GLOBALFOUNDRIES U.S. Inc. Fab 8,US,42.970089,-73.75437,0.004,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Diamond Ethanol, LLC",US,33.588611,-102.262778,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Farbest Foods, Inc.",US,38.31025,-86.983806,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
J.R. Simplot Company,US,47.933611,-97.0825,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Diageo USVI,US,17.714908,-64.776133,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Cargill, Incorporated",US,42.5063,-94.3121,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Wayne Farms LLC - Enterprise Fresh Poultry Plant,US,31.500857,-85.903705,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Microfabrica Inc,US,34.214097,-118.474919,0.0,2014,EPA GHGRP (Envirofacts),industrial,subparts=I
Darling Ingredients Inc.,US,38.907825,-87.016157,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Mission Solar Energy, LLC",US,29.339345,-98.43792,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Valley Proteins, Inc. - Linkwood",US,38.555934,-75.935505,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
SMITHFIELD FRESH MEATS CORP - MILAN,US,40.218594,-93.116363,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Koch Foods of Pine Mountain Valley,US,32.798039,-84.813689,,,EPA GHGRP (Envirofacts),industrial,subparts=II
Vishay Intertechnology,US,37.38192,-121.96202,0.02,2016,EPA GHGRP (Envirofacts),industrial,subparts=I
Qorvo Texas LLC,US,32.99761,-96.72705,0.75,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Micrel LLC.,US,37.40093,-121.89534,0.068,2016,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Diodes Fabtech, Inc",US,38.92849,-94.40081,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Grassland Dairy Products, Inc.",US,44.737642,-90.577949,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Renesas Electronics America Inc.,US,28.030281,-80.601389,0.024,2018,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
Lumileds LLC,US,37.383227,-121.933651,,,EPA GHGRP (Envirofacts),industrial,subparts=I
"Tyson Poultry, Inc Broken Bow",US,33.95649,-94.756928,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Tyson Poultry, Inc Clarksville",US,35.4429,-93.48801,,,EPA GHGRP (Envirofacts),industrial,subparts=II
"Tyson Farms, Inc - Blountsville Processing",US,34.049858,-86.577483,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"AltEn, LLC",US,41.19714,-96.4808,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Wolfspeed RTP,US,35.91704,-78.87028,8.917,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"Tyson Chicken, Inc. Hope AR",US,33.74063,-93.61436,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Aptina LLC,US,43.596395,-116.534622,0.008,2020,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
The Hillshire Brands Company,US,42.918611,-86.028611,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Darling Ingredients Inc.,US,32.5796952,-82.7994194,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Cascades Containerboard Packaging- Niagara Falls,US,43.09212,-79.01389,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
CS Beef Packers,US,43.44488,-116.27435,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Buffalo Trace Distillery,US,38.21657,-84.86974,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Archer Daniels Midland Co. - Enderlin, ND",US,46.6137,-97.5769,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Peco Foods, Inc.",US,36.215944,-90.958167,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Tyson Fresh Meats, Inc. - WWTP",US,37.958946,-101.044593,,,EPA GHGRP (Envirofacts),industrial,subparts=II
Tyson Poultry Inc. Grannis Processing Plant,US,34.240417,-94.334833,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
US MAGNESIUM LLC,US,40.913462,-112.734503,2.514,2016,EPA GHGRP (Envirofacts),industrial,"subparts=C,T"
Seminole (136),US,29.7333,-81.6339,,,EPA GHGRP (Envirofacts),industrial,"subparts=D,TT"
Momentive Performance Materials,US,42.8158,-73.6728,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
US Steel (Fairfield Works),US,33.4833,-86.9261,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
KapStone Paper and Packaging Corp,US,36.4769,-77.6414,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
International Paper - New Bern Mill,US,35.2081,-77.1242,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Domtar Paper Company LLC - Plymouth,US,35.8628,-76.7831,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Blue Ridge Paper Products Inc.,US,35.535,-82.8411,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Eastman Chemical Company,US,36.5192,-82.535,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT,X"
"SP Fiber Technologies Southeast, LLC",US,32.504129,-82.844859,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
"WestRock Virginia, Covington",US,37.7997,-79.9946,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
International Paper-Franklin Mill,US,36.6803,-76.9128,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
"WestRock Coated Board, LLC",US,32.175,-85.0311,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
"GP Big Island, LLC",US,37.534,-79.357,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Resolute Forest Product - Coosa Pines Operation,US,33.3278,-86.3583,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Resolute Forest Products Calhoun Operation,US,35.2964,-84.7569,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
"WestRock CP, LLC - Florence Mill",US,34.1519,-79.5587,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Primary Products Ingredients Americas LLC - Decatur,US,39.8466,-88.9261,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
"Foley Cellulose, LLC",US,30.068694,-83.52375,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
New-Indy Catawba LLC,US,34.8456,-80.8942,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
International Paper-Courtland Mill,US,34.735,-87.3108,,,EPA GHGRP (Envirofacts),industrial,subparts=TT
US Steel Corp - Gary Works,US,41.6133,-87.3281,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,Q,TT"
KapStone Charleston Kraft LLC,US,32.8994,-79.9694,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
International Paper - Vicksburg Mill,US,32.526231,-90.771071,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,US,44.52031,-88.0054,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
VERSO ANDROSCOGGIN LLC,US,44.5047,-70.2403,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Roxboro Steam Electric Plant,US,36.4833,-79.0731,,,EPA GHGRP (Envirofacts),industrial,"subparts=D,TT"
DOMTAR PAPER CO LLC HAWESVILLE MILL,US,37.894847,-86.685793,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Procter & Gamble Paper Products,US,41.573,-76.0426,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
Crystal River Power Plant,US,28.9594,-82.7003,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,D,TT"
TYLER PIPE COMPANY,US,32.43442,-95.36285,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
McWane Ductile - Ohio,US,40.24534,-81.86284,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
"McWane Ductile - Utah, A Division of McWane Inc.",US,40.197233,-111.639172,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
"REAL ALLOY SPECIFICATION, LLC.",US,40.790833,-85.877089,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
International Paper - Red River Mill,US,31.905326,-93.173636,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
"Midwest Recycled & Coated Containerboard, LLC",US,44.269643,-88.308421,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
Western Sugar Cooperative,US,42.0479,-104.189,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,S,TT"
The Dow Chemical Company,US,43.6025,-84.2404,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
"Real Alloy Recycling, LLC",US,37.195,-86.723611,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
WOODLAND PULP LLC,US,45.156894,-67.402006,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,MM,TT"
"Verso Quinnesec, LLC",US,45.795,-87.9586,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
GP MUSKOGEE MILL,US,35.739778,-95.286917,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
SAPPI CLOQUET LLC,US,46.7239,-92.4316,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
DOW TEXAS OPERATIONS FREEPORT,US,28.9792,-95.3549,0.015,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,DD,TT,W,X"
ROHM AND HAAS TEXAS DEER PARK PLANT,US,29.73,-95.102778,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
GREEN BAY PACKAGING/ARK KRAFT,US,35.097355,-92.73854,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
International Paper - Pine Hill Mill,US,31.968879,-87.482747,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Shute Creek Facility,US,41.887,-110.09446,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,PP,RR (RPT),W"
"WESTROCK TEXAS, L.P.",US,30.3387,-94.06635,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
THILMANY MILL,US,44.2829,-88.2518,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
GENERAL MOTORS SAGINAW METAL CASTING OPERATIONS,US,43.4503,-83.920477,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
CONSOLIDATE PRECISION PRODUCTS - MINNEAPOLIS OPERATION,US,44.84531,-93.28603,1.274,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,T"
FIRST QUALITY TISSUE/LOCK HAVEN PLT,US,41.12723,-77.45586,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
Great Plains Synfuels Plant,US,47.360814,-101.838222,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,G,LL,PP,RR (RPT)"
ARCONIC INC MASSENA OPERATIONS,US,44.950425,-74.893685,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,F,TT"
REYNOLDS METALS ST LAWRENCE REDUCTION PL,US,44.982804,-74.748897,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,F,TT"
DOW CORNING,US,38.7074,-85.1048,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
"JELD-WEN, INC.",US,41.762505,-76.417843,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
CHEMOURS CHAMBERS WORKS,US,39.68203,-75.490544,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,L,OO,TT"
CLEARWATER PAPER CORP-CYPRESS BEND MILL,US,33.70575,-91.24037,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
"Brunswick Cellulose, Inc.",US,31.173147,-81.519247,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
GEORGIA-PACIFIC CEDAR SPRINGS LLC,US,31.163888,-85.097444,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
WATER RENEWAL CENTER,US,44.486243,-89.582534,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
GENERAL MOTORS LLC BEDFORD CETC,US,38.877889,-86.479722,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
BOISE PAPER,US,46.097264,-118.911147,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,PP,TT"
Cleveland-Cliffs Steel Corporation /BUTLER WORKS,US,40.82926,-79.94273,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,Q,TT"
UCC SEADRIFT OPERATIONS,US,28.510636,-96.771527,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT,X"
SAPPI FINE PAPER (S.D. WARREN ) MILL,US,44.7024,-69.6472,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
VERSO PAPER CORP. - SARTELL MILL,US,45.619724,-94.20093,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
ALCOA WORLD ALUMINA ATLANTIC,US,28.3909,-96.3332,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
SABIC INNOVATIVE PLASTICS US LLC,US,39.259181,-81.690366,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
PACKAGING CORP. OF AMERICA,US,30.6949,-83.30442,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Chevron Pascagoula Refinery,US,30.343733,-88.4938,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,P,TT,Y"
Celanese Acetate LLC - Manufacturing Processes,US,37.3451,-80.764,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
Verso Escanaba LLC,US,45.804799,-87.08978,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
BIRON MILL,US,44.4289,-89.7817,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
GRAPHIC PACKAGING INTERNATIONAL,US,32.7718,-83.6275,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
EVERGREEN PACKAGING-PINE BLUFF,US,34.221569,-91.907406,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
ALCOA INTALCO WORKS,US,48.8455,-122.7055,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,F,TT"
CHEMOURS BEAUMONT WORKS INDUSTRIAL PARK,US,30.014764,-94.028837,,,EPA GHGRP (Envirofacts),industrial,subparts=TT
CF & I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS,US,38.232627,-104.607257,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,Q,TT"
GREIF RIVERVILLE LLC,US,37.509849,-78.910831,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
"Sawyer Disposal Services, LLC",US,47.969294,-101.092512,,,EPA GHGRP (Envirofacts),industrial,subparts=TT
GEORGIA-PACIFIC TOLEDO LLC,US,44.614453,-123.936832,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
LOUISIANA PIGMENT CO LP,US,30.196389,-93.306944,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,EE,TT"
CHEMOURS LOUISVILLE WORKS,US,38.21229,-85.83975,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,L,O,OO,TT"
ALBEMARLE CORP,US,33.46738,-80.88406,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
The Dow Chemical Company -- Louisiana Operations,US,30.320903,-91.239015,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT,X"
DOMTAR A. W. LLC-NEKOOSA,US,44.3143,-89.8962,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
ROSEBURG FOREST PRODUCTS - DILLARD,US,43.0896,-123.4144,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
Vonco II Landfill,US,45.352493,-93.870775,,,EPA GHGRP (Envirofacts),industrial,subparts=TT
Kohler Co.,US,43.7375,-87.763889,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,N,TT"
CLEARWATER PAPER CORP,US,46.427,-116.967,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
"COLUMBIA FALLS ALUMINUM COMPANY, LLC",US,48.39,-114.138333,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,F,TT"
WISCONSIN RAPIDS PAPER MILL,US,44.394583,-89.827238,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,PP,TT"
Ascend Performance Materials LLC,US,30.596678,-87.251977,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,E,P,TT,V"
UP Paper LLC,US,45.9597,-86.2554,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
"Kennecott Utah Copper, LLC",US,40.54717,-112.00316,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
Hawaiian Commercial and Sugar Company,US,20.8673,-156.4534,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
Arconic Inc. - Cleveland Works,US,41.44739,-81.67684,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
"WestRock CP, LLC - West Point Mill",US,37.5392,-76.8053,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
ISP CHEMICALS LLC,US,37.047737,-88.35866,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
AMALGAMATED SUGAR CO LLC,US,43.612136,-116.579232,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,S,TT"
PORT TOWNSEND PAPER CORP,US,48.093793,-122.796806,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
AMERICAN CRYSTAL SUGAR - E GRAND FORKS,US,47.925833,-97.006111,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,S,TT"
AMERICAN CRYSTAL SUGAR - HILLSBORO,US,47.435833,-97.0625,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,S,TT"
NUCOR STEEL - UTAH,US,41.8825,-112.1964,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,Q,TT"
International Paper - Orange Mill,US,30.19347,-93.79798,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
GEORGIA-PACIFIC BREWTON LLC,US,31.077123,-87.111402,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
CATERPILLAR INC.-MAPLETON,US,40.559343,-89.747989,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
DOMTAR AW LLC ASHDOWN MILL,US,33.638889,-94.102139,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,US,45.582929,-122.407758,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,PP,TT"
US STEEL - GRANITE CITY,US,38.69439,-90.147709,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,Q,TT"
WISCONSIN RAPIDS FIBER AND ENERGY MILL,US,44.404,-89.8255,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,PP,TT"
BUCKSPORT GENERATION LLC,US,44.574508,-68.804038,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,D,TT"
CHEVRON PRODUCTS CO - SALT LAKE REFINERY,US,40.824668,-111.930772,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT,Y"
ADM CORN PROCESSING,US,41.818117,-90.214731,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
International Paper - Flint River Mill,US,32.2531,-84.0691,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
BOISE PACKAGING & NEWSPRINT LLC - DERIDDER PAPER MILL,US,30.8627,-93.3751,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
International Paper-Eastover Mill,US,33.8872,-80.6397,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
BORGER REFINERY,US,35.70306,-101.36305,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,MM,P,TT,Y"
MINN DAK FARMERS COOPERATIVE,US,46.323539,-96.61592,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,S,TT"
AMERICAN CRYSTAL SUGAR - CROOKSTON,US,47.764444,-96.6325,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,S,TT"
AMALGAMATED SUGAR CO LLC,US,42.611671,-113.757423,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,S,TT"
BRADKEN ATCHISON/ST JOSEPH,US,39.557684,-95.116516,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
CLARIFIER SOLIDS LANDFILL,US,45.8507,-122.8844,,,EPA GHGRP (Envirofacts),industrial,subparts=TT
SOUTH 80 LANDFILL,US,45.8476,-122.803,,,EPA GHGRP (Envirofacts),industrial,subparts=TT
Novo Biopower,US,34.503981,-110.33618,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,TT"
International Paper - Texarkana Mill,US,33.2644,-94.069639,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,TT"
Expera Specialty Solutions LLC - Brokaw Landfill,US,44.79031,-89.69372,,,EPA GHGRP (Envirofacts),industrial,subparts=TT
