name,company,city,country,lat,lon,status_2020,hfc23_emission_tpy,coord_confidence,source
Dordrecht Works,Chemours,Dordrecht,NLD,51.8177,4.7294,operating,40,high,"Rudel et al. 2024 RSC D3EM00426K (permit lists HCFC-22+HFC-23); HFC-23 ~40 t/yr 2022 permit"
Pierre-Benite,Arkema/Daikin JV,Pierre-Benite,FRA,45.7082,4.8261,operating,10,high,"Rudel et al. 2024 RSC D3EM00426K (permit lists HCFC-22+HFC-23); HFC-23 6.5-15.4 t/yr 2015-2018"
Spinetta Marengo,Solvay/Syensqo Specialty Polymers,Spinetta Marengo (Alessandria),ITA,44.8856,8.6775,operating,,high,"Chemistry World 3004163 (sole HCFC-22 factory, dedicated HFC-23 incinerator); Rudel et al. 2024 RSC. Italy flagged 10-20x HFC-23 under-reporting"
Hillhouse Thornton-Cleveleys,AGC Chemicals Europe,Thornton-Cleveleys,GBR,53.8831,-3.0009,operating,,high,"Rudel et al. 2024 RSC D3EM00426K (2017 permit to emit HCFC-22+HFC-23)"
Gendorf,Dyneon (3M),Burgkirchen an der Alz,DEU,48.16,12.66,operating,,medium,"Rudel et al. 2024 RSC D3EM00426K (permit lists HCFC-22+HFC-23); coords = Gendorf chemical park, town-level"
