kg,local_id,ns,country,year,name,lon,lat,activity
60.0,2007001677.FACILITY,IT.EEA,IT,2011,ENEL PRODUZIONE SPA - CENTRALE DI LERI,8.1925,45.25388899946319,1(c)
60.0,2007001677.FACILITY,IT.EEA,IT,2012,ENEL PRODUZIONE SPA - CENTRALE DI LERI,8.1925,45.25388899946319,1(c)
60.0,pf-450-7047053-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2014,Solvay Fluor GmbH,9.17602492831967,49.22964597802314,4(b)
60.0,pf-450-7047053-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2016,Solvay Fluor GmbH,9.17602492831967,49.22964597802314,4(b)
60.0,pf-450-7047053-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2017,Solvay Fluor GmbH,9.17602492831967,49.22964597802314,4(b)
60.0,pf-450-7047053-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2018,Solvay Fluor GmbH,9.17602492831967,49.22964597802314,4(b)
60.0,pf-450-7047053-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2019,Solvay Fluor GmbH,9.17602492831967,49.22964597802314,4(b)
60.0,pf-450-7047053-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2021,Solvay Fluor GmbH,9.176024928319672,49.22964597855397,4(b)
60.0,pf-450-7047053-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2022,Solvay Fluor GmbH,9.176024928319672,49.22964597855397,4(b)
60.2,461001003.FACILITY,IT.CAED,IT,2013,Enipower Mantova - Stabilimento di Mantova,10.834865,45.14957199946317,1(c)
62.599998,5175.FACILITY,FR.CAED,FR,2022,ST MICROELECTRONICS,5.88449,45.2671,4(b)(i)
63.0,2007000906.FACILITY,IT.EEA,IT,2007,Centrale di Piombino - ENEL PRODUZIONE SPA,10.604167,42.95555599946443,1(c)
64.0,481231006.FACILITY,IT.CAED,IT,2013,Enipower Stabilimento di Ravenna,12.236944,44.44861099946323,1(c)
64.0,EW_EA-68.FACILITY,UK.CAED,GB,2009,"INDIAN QUEENS POWER LTD, INDIAN QUEENS PEAK POWER FACILITY",-4.899750000000001,50.39560999947286,1(c)
64.4,960101002.FACILITY,IT.CAED,IT,2024,ISAB S.r.l.-IGCC,15.2022,37.1291,1(c)
65.0,000137000.FACILITY,ES.CAED,ES,2017,CENTRAL TÉRMICA ALCÚDIA,3.091257,39.81060499947168,1(c)
67.0,481231001.FACILITY,IT.CAED,IT,2021,ENEL PRODUZIONE SPA - CENTRALE A CICLO COMBINATO DI PORTO CORSINI,12.2661,44.48439999946321,1(c)
67.6,461001003.FACILITY,IT.CAED,IT,2014,Enipower Mantova - Stabilimento di Mantova,10.834865,45.14957199946317,1(c)
69.65,481231001.FACILITY,IT.CAED,IT,2024,ENEL PRODUZIONE SPA - CENTRALE A CICLO COMBINATO DI PORTO CORSINI,12.2661,44.4844,1(c)
69.7,070461001.FACILITY,IT.CAED,IT,2023,Centrale Fiume Santo,8.2991,40.8516,1(c)
69.8,EW_EA-1433.FACILITY,UK.CAED,GB,2012,Immingham Chp Power Station,-0.23947463,53.63656099948769,1(c)
70.8,000531001.FACILITY,IT.CAED,IT,2014,CENTRALE TORREVALDALIGA SUD,11.768333,42.12111099946572,1(c)
71.7,100629649.FACILITY,HU.OKIR,HU,2023,Hanon Systems Auto Parts Hungary Kft.,19.116274,47.914529,2(e)(ii)
71.9,000531001.FACILITY,IT.CAED,IT,2016,CENTRALE TORREVALDALIGA SUD,11.768333,42.12111099946572,1(c)
72.0,10016482.Facility,SE.CAED,SE,2015,International Aluminium Casting Hultsfred AB,15.83523,57.50838999951394,2(d)
72.0,4109.FACILITY,FR.CAED,FR,2019,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,0.13589,49.47342999946987,1(c)
73.0,EW_EA-3226.FACILITY,UK.CAED,GB,2015,Philips Electronics Uk Ltd,-2.1423093,53.37661999948626,5(c)
73.400002,5175.FACILITY,FR.CAED,FR,2023,STMICROELECTRONICS FRANCE,5.88449,45.2671,4(b)(i)
74.3,003530000.FACILITY,ES.CAED,ES,2014,CENTRAL TERMICA DE ANDORRA,-0.380582,40.99710699946819,1(c)
75.0,EW_EA-3226.FACILITY,UK.CAED,GB,2010,"Philips Electronics Uk Ltd, Philips Semiconductors",-2.1423093,53.37661999948626,4(b)
75.6,200000201.Facility,UK.SEPA,GB,2016,Larkfield Electronics Works,-4.83438,55.94379999950224,4(b)(ii)
75.6,200000201.Facility,UK.SEPA,GB,2018,Larkfield Electronics Works,-4.83438,55.94379999950224,4(b)(ii)
76.0,461001003.FACILITY,IT.CAED,IT,2015,ENIPOWER MANTOVA - STABILIMENTO DI MANTOVA,10.834865,45.14957199946317,1(c)
76.25,960101002.FACILITY,IT.CAED,IT,2022,ISAB S.r.l.-IGCC,15.2022,37.12909999948288,1(c)
76.6,4109.FACILITY,FR.CAED,FR,2018,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,0.13589,49.47342999946987,1(c)
76.8,100922003.FACILITY,IT.CAED,IT,2009,GETTI SPECIALI SRL,7.6069,45.00779999946315,2(e)
77.0,291211001.FACILITY,IT.CAED,IT,2012,Centrale Termoelettrica di Piacenza,9.708332999999998,45.05416599946314,1(c)
78.0,2007001063.FACILITY,IT.EEA,IT,2008,NUMONYX ITALY SRL,9.333333,45.56666699946329,9(c)
78.0,2007001063.FACILITY,IT.EEA,IT,2012,"Stabilimento di Agrate (ex Micron, che nel 2012 ha gestito il complesso)",9.333333,45.56666699946329,9(c)
78.9,003530000.FACILITY,ES.CAED,ES,2012,CENTRAL TERMICA DE ANDORRA,-0.380582,40.99710699946819,1(c)
79.9,100922003.FACILITY,IT.CAED,IT,2010,GETTI SPECIALI SRL,7.6069,45.00779999946315,2(e)
80.0,06-05-122-0214127.FACILITY,DE.EEA,DE,2009,Pierburg GmbH,6.28644970224283,51.30312170472405,2(e)(ii)
80.0,EW_EA-1023.FACILITY,UK.CAED,GB,2016,Grain Power Station,0.7128199999999999,51.44440999947693,1(c)
80.0,EW_EA-2615.FACILITY,GB.EEA,GB,2010,"Surface Technologies Systems Plc , COEDKERNEW SEMI-CONDUCTOR GROWTH KIT MANUFACTURER",-3.02922,51.5541999994774,4(b)
80.1,P0207.FACILITY,IE.CAED,IE,2016,Intel Ireland Limited,-6.513515000000001,53.37514599948624,9(c)
81.0,S00080,https://registry.gdi-de.org/id/de.by.inspire.pf.ied,DE,2024,RF360 Europe GmbH,11.60833765551296,48.12169503850706,9(c)
83.0,8344.FACILITY,FR.CAED,FR,2014,ALTIS SEMICONDUCTOR,2.474735,48.57027777724527,1(c)
83.5,vl01849940000190.FACILITY,BE.EEA,BE,2012,ON SEMICONDUCTOR BELGIUM,3.5959516,50.85873999947458,2(f)
84.0,pf-450-50901056-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2019,Rheinfelden Alloys GmbH & Co. KG,7.798815848593729,47.56706026029629,2(e)(ii)
84.0,pf-450-50901056-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/,DE,2020,Rheinfelden Alloys GmbH & Co. KG,7.798815848593729,47.56706026029629,2(e)(ii)
85.0,000000347.Facility,CH.CAED,CH,2010,Services industriels de Genève - Activité DiE,6.1041,46.20669999946369,1(c)
86.0,200000201.Facility,UK.SEPA,GB,2008,Larkfield Electronics Works,-4.83438,55.94379999950224,4(b)(ii)
86.0,200000201.Facility,UK.SEPA,GB,2009,Larkfield Electronics Works,-4.83438,55.94379999950224,4(b)(ii)
86.1,5175.FACILITY,FR.CAED,FR,2007,STMicroelectronics,5.88449,45.26709999946318,4(b)(i)
88.05,010141001.FACILITY,IT.CAED,IT,2023,Centrale termoelettrica di Montalto di Castro,11.5338,42.3589,1(c)
89.7,000531001.FACILITY,IT.CAED,IT,2015,CENTRALE TORREVALDALIGA SUD,11.768333,42.12111099946572,1(c)
90.0,4109.FACILITY,FR.CAED,FR,2016,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,0.147777777777778,49.47500999946988,1(c)
90.1,100629649.FACILITY,HU.OKIR,HU,2019,Hanon Systems Auto Parts Hungary Kft.,19.116274,47.91452899946606,2(e)(ii)
92.0,4109.FACILITY,FR.CAED,FR,2014,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,0.147777777777778,49.47500999946988,1(c)
92.1,001983000.FACILITY,ES.CAED,ES,2021,CENTRAL TÉRMICA DE GRANADILLA,-16.573048,28.1221799995527,1(c)
